"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
715,5,8,1,11,12,0,0,3,0,0,1,1,0,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1441,9,3,1,6,5,1,0,7,0,0,0,0,2,7,3,4,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
548,3,0,3,3,3,0,0,3,0,0,0,3,0,3,3,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0
528,0,11,5,11,11,0,0,6,0,0,0,5,6,5,0,11,0,6,6,0,0,0,0,0,5,0,0,0,0,0,0,0
1442,20,15,13,14,3,0,3,14,0,0,0,0,16,13,13,17,0,0,3,0,0,0,0,13,2,13,0,0,0,0,0,0
785,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,2,2,1,3,3,0,1,2,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1444,33,10,0,30,25,0,23,28,0,0,3,4,5,9,1,3,1,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0
1445,3,2,1,3,2,0,0,2,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
29,4,0,0,4,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
640,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1446,11,3,0,10,6,0,1,6,0,0,1,0,0,1,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,22,13,0,14,21,0,2,12,0,0,8,0,13,7,0,19,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
1448,13,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,175,151,3,107,43,4,76,63,0,0,61,6,81,21,62,26,8,59,1,2,49,0,0,79,5,99,0,0,0,0,0,0
885,10,10,0,14,4,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,20,20,19,30,30,13,1,19,1,1,12,7,13,30,23,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
1450,24,1,0,23,12,0,1,13,0,0,2,2,2,2,2,19,12,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0
755,30,26,0,18,7,0,6,17,0,0,1,4,1,0,0,1,1,25,0,1,0,0,0,0,32,0,0,0,0,0,0,0
1451,19,6,0,18,13,0,7,1,0,0,1,1,6,0,0,4,1,6,0,1,0,0,0,7,7,0,0,0,0,0,0,0
267,12,21,0,12,13,0,17,3,0,0,3,12,11,1,1,1,7,13,1,1,1,1,0,10,0,0,0,0,0,0,0,0
153,7,4,4,9,3,0,0,6,0,0,2,4,0,8,5,2,4,2,1,1,1,0,0,1,5,1,0,0,1,0,0,0
1452,20,11,1,19,10,2,6,3,2,2,9,1,11,1,2,10,8,8,8,9,8,8,0,0,0,0,0,0,0,0,0,0
