"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1295,3180,2942,38,3180,3179,0,0,26,0,0,38,276,2904,38,0,1,251,2903,0,1,0,0,0,2941,3218,0,0,0,0,0,0,0
1296,2586,8452,0,9922,9380,178,1281,9922,0,0,1,115,8452,116,115,7859,115,7680,7680,115,115,115,0,0,0,0,0,0,0,0,0,0
1297,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,375,207,0,137,413,0,20,95,0,0,207,0,245,314,0,279,3,41,3,3,3,3,0,38,38,0,0,0,0,0,0,0
575,23442,8854,201,19521,9447,5961,7001,15311,1084,1213,750,1652,9516,10616,7594,11782,5453,4411,4953,1239,4083,4770,0,0,57,0,0,0,0,0,0,0
765,92,9,9,101,101,0,0,0,0,0,0,9,0,9,0,101,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
1298,2445,2218,0,1116,2724,72,582,1283,0,0,965,674,2133,899,0,1518,90,833,903,95,0,0,0,0,941,0,0,0,0,0,0,0
539,4362,658,0,4362,4092,18,3686,676,0,0,3686,0,91,18,18,676,585,4170,91,129,393,18,0,0,3686,0,0,0,0,0,0,0
630,307,18662,16672,18534,18534,0,0,296,0,0,236,16774,120,16774,0,16972,187,1578,11,120,11,11,0,0,18232,0,0,0,0,0,0,0
1299,1707,1354,1354,3061,3061,0,0,1707,0,0,0,1354,1707,1354,0,3061,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,0
290,1454,553,0,1454,1454,0,0,403,0,0,553,107,543,553,393,393,107,543,543,393,393,393,0,0,901,0,0,0,0,0,0,0
1300,9204,4050,389,9204,6315,0,143,5888,0,0,3415,2558,4012,2731,1030,9204,339,0,0,2952,0,0,0,173,0,2554,0,0,0,143,0,0
462,2173,290,0,2173,1917,339,170,1917,0,0,252,204,104,777,767,1127,799,325,234,882,145,123,0,0,99,0,0,0,0,0,0,0
1301,1166,83,59,1166,959,131,864,1078,0,0,24,59,24,131,131,243,214,24,24,24,24,155,0,0,0,0,0,0,0,0,0,0
1302,2697,2697,0,0,2730,0,2730,0,0,0,0,0,2697,0,0,0,0,0,0,0,0,0,0,33,2697,0,0,0,0,0,0,0
1303,2527,2527,0,0,0,0,1889,0,0,0,1889,0,2527,638,0,638,0,2527,2527,0,0,0,0,1889,0,0,0,0,0,0,0,0
363,5,5,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0
1304,1113,3157,1245,1711,1694,65,470,195,59,0,1018,1209,1360,1384,987,1617,136,1140,124,0,65,65,0,169,810,0,0,0,0,0,0,0
56,1469,1440,29,1007,1469,0,462,1007,0,0,937,966,1440,966,29,978,0,70,70,937,0,0,0,0,491,29,0,0,0,0,0,0
1305,304,0,0,304,214,0,0,304,0,0,0,0,0,0,0,304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,342,534,230,497,482,42,48,92,0,0,141,245,0,245,57,463,65,69,0,50,50,0,0,0,278,0,0,0,0,0,0,0
926,807,807,0,0,0,0,807,0,0,0,807,0,807,0,0,0,0,807,807,0,0,0,0,807,0,0,0,0,0,0,0,0
1307,11,12,12,23,23,0,11,0,0,0,0,12,0,23,11,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
1308,3662,1921,243,2849,3232,215,666,2341,111,216,479,578,1430,788,760,2489,1344,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0
1309,1491,1261,903,2152,1199,353,76,963,1,337,148,662,871,1658,1206,1623,13,0,53,0,0,0,0,567,511,434,0,0,0,0,0,0
